   data   ;     valor
21/03/2018;       0,427700
20/03/2018;       0,413400
19/03/2018;       0,412000
16/03/2018;       0,432600
15/03/2018;       0,441100
14/03/2018;       0,449300
13/03/2018;       0,462400
12/03/2018;       0,486000
09/03/2018;       0,456000
08/03/2018;       0,485000
07/03/2018;       0,446000
06/03/2018;       0,436500
05/03/2018;       0,445000
02/03/2018;       0,465000
01/03/2018;       0,471400
28/02/2018;       0,461900
27/02/2018;       0,466000
26/02/2018;       0,484100
23/02/2018;       0,480000
22/02/2018;       0,497000
21/02/2018;       0,491100
20/02/2018;       0,492000
19/02/2018;       0,510000
16/02/2018;       0,477700
15/02/2018;       0,480000
14/02/2018;       0,495000
13/02/2018;       0,485000
12/02/2018;       0,483000
09/02/2018;       0,453500
08/02/2018;       0,434500
07/02/2018;       0,477500
06/02/2018;       0,482500
05/02/2018;       0,482000
02/02/2018;       0,464900
01/02/2018;       0,475500
31/01/2018;       0,475300
30/01/2018;       0,451000
29/01/2018;       0,395400
26/01/2018;       0,390200
25/01/2018;       0,370000
24/01/2018;       0,385000
23/01/2018;       0,385500
22/01/2018;       0,380700
19/01/2018;       0,368600
18/01/2018;       0,376000
17/01/2018;       0,380000
16/01/2018;       0,390000
15/01/2018;       0,314500
12/01/2018;       0,316200
11/01/2018;       0,284900
10/01/2018;       0,285000
09/01/2018;       0,310000
08/01/2018;       0,310200
05/01/2018;       0,297500
04/01/2018;       0,317500
03/01/2018;       0,312900
02/01/2018;       0,297000
29/12/2017;       0,312000
28/12/2017;       0,300000
27/12/2017;       0,290000
22/12/2017;       0,265000
21/12/2017;       0,220000
20/12/2017;       0,213000
19/12/2017;       0,210000
18/12/2017;       0,217000
15/12/2017;       0,220000
14/12/2017;       0,214600
13/12/2017;       0,200000
12/12/2017;       0,206500
11/12/2017;       0,199600
08/12/2017;       0,190000
07/12/2017;       0,197000
06/12/2017;       0,197000
05/12/2017;       0,207000
04/12/2017;       0,240000
01/12/2017;       0,220000
30/11/2017;       0,205000
29/11/2017;       0,212000
28/11/2017;       0,209000
27/11/2017;       0,210000
24/11/2017;       0,208000
23/11/2017;       0,198000
22/11/2017;       0,202500
21/11/2017;       0,204000
20/11/2017;       0,209200
17/11/2017;       0,194000
16/11/2017;       0,221000
15/11/2017;       0,207000
14/11/2017;       0,209000
13/11/2017;       0,198500
10/11/2017;       0,171500
09/11/2017;       0,182300
08/11/2017;       0,179400
07/11/2017;       0,200000
06/11/2017;       0,199000
03/11/2017;       0,200800
02/11/2017;       0,200000
01/11/2017;       0,203200
31/10/2017;       0,220000
30/10/2017;       0,245000
27/10/2017;       0,261000
26/10/2017;       0,250000
25/10/2017;       0,227500
24/10/2017;       0,241100
23/10/2017;       0,213000
20/10/2017;       0,207000
19/10/2017;       0,185000
18/10/2017;       0,202000
17/10/2017;       0,218000
16/10/2017;       0,236000
13/10/2017;       0,244500
12/10/2017;       0,250000
11/10/2017;       0,240000
10/10/2017;       0,260000
09/10/2017;       0,227500
06/10/2017;       0,225000
05/10/2017;       0,260000
04/10/2017;       0,240000
03/10/2017;       0,240000
02/10/2017;       0,255000
29/09/2017;       0,253000
28/09/2017;       0,214000
27/09/2017;       0,222500
26/09/2017;       0,245000
25/09/2017;       0,240000
22/09/2017;       0,220000
21/09/2017;       0,217900
20/09/2017;       0,235000
19/09/2017;       0,210000
18/09/2017;       0,190000
15/09/2017;       0,190000
14/09/2017;       0,171000
13/09/2017;       0,150000
12/09/2017;       0,140000
11/09/2017;       0,130000
08/09/2017;       0,139000
07/09/2017;       0,140100
06/09/2017;       0,158000
05/09/2017;       0,172000
04/09/2017;       0,162000
01/09/2017;       0,168000
31/08/2017;       0,154000
30/08/2017;       0,195000
29/08/2017;       0,182000
25/08/2017;       0,180500
24/08/2017;       0,195000
23/08/2017;       0,190000
22/08/2017;       0,195000
21/08/2017;       0,213000
18/08/2017;       0,227500
17/08/2017;       0,232500
16/08/2017;       0,211000
15/08/2017;       0,196000
14/08/2017;       0,205000
11/08/2017;       0,210000
10/08/2017;       0,241000
09/08/2017;       0,241000
08/08/2017;       0,248000
07/08/2017;       0,240600
04/08/2017;       0,246000
03/08/2017;       0,271000
02/08/2017;       0,281000
01/08/2017;       0,286400
31/07/2017;       0,266000
28/07/2017;       0,272000
27/07/2017;       0,273000
26/07/2017;       0,245000
25/07/2017;       0,256700
24/07/2017;       0,290000
21/07/2017;       0,280000
20/07/2017;       0,299000
19/07/2017;       0,311400
18/07/2017;       0,290000
17/07/2017;       0,305000
14/07/2017;       0,299500
13/07/2017;       0,321500
12/07/2017;       0,311900
11/07/2017;       0,337000
10/07/2017;       0,316000
07/07/2017;       0,283000
06/07/2017;       0,265000
05/07/2017;       0,265000
04/07/2017;       0,270000
03/07/2017;       0,254000
30/06/2017;       0,200000
29/06/2017;       0,184000
28/06/2017;       0,138000
27/06/2017;       0,136500
26/06/2017;       0,130000
23/06/2017;       0,140000
22/06/2017;       0,140000
21/06/2017;       0,145000
20/06/2017;       0,140000
19/06/2017;       0,147000
16/06/2017;       0,122500
15/06/2017;       0,145000
14/06/2017;       0,138000
13/06/2017;       0,150000
12/06/2017;       0,142500
09/06/2017;       0,145000
08/06/2017;       0,157500
07/06/2017;       0,171500
06/06/2017;       0,160000
05/06/2017;       0,170000
02/06/2017;       0,161500
01/06/2017;       0,163500
31/05/2017;       0,191000
30/05/2017;       0,210000
26/05/2017;       0,220000
25/05/2017;       0,220000
24/05/2017;       0,215000
23/05/2017;       0,194000
22/05/2017;       0,170000
19/05/2017;       0,197500
18/05/2017;       0,230000
17/05/2017;       0,210000
16/05/2017;       0,212500
15/05/2017;       0,240000
12/05/2017;       0,218000
11/05/2017;       0,244000
10/05/2017;       0,240000
09/05/2017;       0,234000
08/05/2017;       0,222000
05/05/2017;       0,196000
04/05/2017;       0,208500
03/05/2017;       0,206500
02/05/2017;       0,218500
28/04/2017;       0,222000
27/04/2017;       0,227000
26/04/2017;       0,216000
25/04/2017;       0,175000
24/04/2017;       0,155000
21/04/2017;       0,119500
20/04/2017;       0,120000
19/04/2017;       0,116000
18/04/2017;       0,129500
13/04/2017;       0,128500
12/04/2017;       0,134700
11/04/2017;       0,136000
10/04/2017;       0,151000
07/04/2017;       0,160600
06/04/2017;       0,144000
05/04/2017;       0,175000
04/04/2017;       0,190500
03/04/2017;       0,187500
31/03/2017;       0,213200
30/03/2017;       0,233000
29/03/2017;       0,253000
28/03/2017;       0,279000
27/03/2017;       0,255000
24/03/2017;       0,267500
23/03/2017;       0,297000
22/03/2017;       0,281500
21/03/2017;       0,270000
20/03/2017;       0,272000
17/03/2017;       0,261000
16/03/2017;       0,290500
15/03/2017;       0,297500
14/03/2017;       0,287000
13/03/2017;       0,193600
10/03/2017;       0,190500
09/03/2017;       0,182000
08/03/2017;       0,185000
07/03/2017;       0,181000
06/03/2017;       0,124500
03/03/2017;       0,095000
02/03/2017;       0,082000
01/03/2017;       0,102000
28/02/2017;       0,108000
27/02/2017;       0,122500
24/02/2017;       0,126000
23/02/2017;       0,148000
22/02/2017;       0,135000
21/02/2017;       0,130000
20/02/2017;       0,156000
17/02/2017;       0,180000
16/02/2017;       0,166000
15/02/2017;       0,155000
14/02/2017;       0,152000
13/02/2017;       0,131500
10/02/2017;       0,139500
09/02/2017;       0,165000
08/02/2017;       0,155000
07/02/2017;       0,184000
06/02/2017;       0,193000
03/02/2017;       0,196000
02/02/2017;       0,207000
01/02/2017;       0,211000
31/01/2017;       0,205000
30/01/2017;       0,191500
27/01/2017;       0,160000
26/01/2017;       0,133000
25/01/2017;       0,150000
24/01/2017;       0,140000
23/01/2017;       0,127000
20/01/2017;       0,097000
19/01/2017;       0,057500
18/01/2017;       0,070000
17/01/2017;       0,072000
16/01/2017;       0,076000
13/01/2017;       0,100000
12/01/2017;       0,098000
11/01/2017;       0,111000
10/01/2017;       0,105000
09/01/2017;       0,122500
06/01/2017;       0,097500
05/01/2017;       0,082000
04/01/2017;       0,073500
03/01/2017;       0,086500
30/12/2016;       0,085000
29/12/2016;       0,119000
28/12/2016;       0,125000
23/12/2016;       0,106000
22/12/2016;       0,105200
21/12/2016;       0,117000
20/12/2016;       0,120000
19/12/2016;       0,142500
16/12/2016;       0,115000
15/12/2016;       0,136000
14/12/2016;       0,147000
13/12/2016;       0,126000
12/12/2016;       0,151000
09/12/2016;       0,144000
08/12/2016;       0,134500
07/12/2016;       0,125000
06/12/2016;       0,120000
05/12/2016;       0,108000
02/12/2016;       0,069000
01/12/2016;       0,067000
30/11/2016;       0,077000
29/11/2016;       0,085000
28/11/2016;       0,091000
25/11/2016;       0,111000
24/11/2016;       0,095000
23/11/2016;       0,123000
22/11/2016;       0,133000
21/11/2016;       0,135000
18/11/2016;       0,160000
17/11/2016;       0,143000
16/11/2016;       0,072500
15/11/2016;       0,133000
14/11/2016;       0,100000
11/11/2016;       0,027000
10/11/2016;       0,022000
09/11/2016;       0,022000
08/11/2016;       0,019000
07/11/2016;       0,020500
04/11/2016;       0,010000
03/11/2016;       0,021000
02/11/2016;       0,008000
01/11/2016;       0,018000
31/10/2016;       0,000500
28/10/2016;-      0,023000
27/10/2016;-      0,054000
26/10/2016;-      0,065000
25/10/2016;-      0,055000
24/10/2016;-      0,058000
21/10/2016;-      0,075000
20/10/2016;-      0,065000
19/10/2016;-      0,048500
18/10/2016;-      0,062500
17/10/2016;-      0,065000
14/10/2016;-      0,072000
13/10/2016;-      0,065000
12/10/2016;-      0,070000
11/10/2016;-      0,091000
10/10/2016;-      0,101000
07/10/2016;-      0,107500
06/10/2016;-      0,135000
05/10/2016;-      0,143000
04/10/2016;-      0,157500
03/10/2016;-      0,155000
30/09/2016;-      0,160000
29/09/2016;-      0,165000
28/09/2016;-      0,155000
27/09/2016;-      0,149000
26/09/2016;-      0,142000
23/09/2016;-      0,111500
22/09/2016;-      0,120000
21/09/2016;-      0,105000
20/09/2016;-      0,113000
19/09/2016;-      0,096000
16/09/2016;-      0,104000
15/09/2016;-      0,110000
14/09/2016;-      0,105000
13/09/2016;-      0,123000
12/09/2016;-      0,148000
09/09/2016;-      0,172000
08/09/2016;-      0,150000
07/09/2016;-      0,135000
06/09/2016;-      0,125000
05/09/2016;-      0,112500
02/09/2016;-      0,128500
01/09/2016;-      0,126500
31/08/2016;-      0,119000
30/08/2016;-      0,112500
26/08/2016;-      0,130000
25/08/2016;-      0,135000
24/08/2016;-      0,137000
23/08/2016;-      0,129000
22/08/2016;-      0,131000
19/08/2016;-      0,118500
18/08/2016;-      0,147000
17/08/2016;-      0,141000
16/08/2016;-      0,157000
15/08/2016;-      0,160000
12/08/2016;-      0,165000
11/08/2016;-      0,131000
10/08/2016;-      0,131500
09/08/2016;-      0,140000
08/08/2016;-      0,131000
05/08/2016;-      0,115000
04/08/2016;-      0,108000
03/08/2016;-      0,141000
02/08/2016;-      0,136500
01/08/2016;-      0,128000
29/07/2016;-      0,125000
28/07/2016;-      0,125000
27/07/2016;-      0,114500
26/07/2016;-      0,110000
25/07/2016;-      0,100000
22/07/2016;-      0,130000
21/07/2016;-      0,124500
20/07/2016;-      0,146000
19/07/2016;-      0,129000
18/07/2016;-      0,134000
15/07/2016;-      0,158000
14/07/2016;-      0,153500
13/07/2016;-      0,169000
12/07/2016;-      0,167500
11/07/2016;-      0,157000
08/07/2016;-      0,169000
07/07/2016;-      0,156000
06/07/2016;-      0,140000
05/07/2016;-      0,123000
04/07/2016;-      0,094000
01/07/2016;-      0,100000
30/06/2016;-      0,087000
29/06/2016;-      0,094000
28/06/2016;-      0,088900
27/06/2016;-      0,007000
24/06/2016;-      0,030000
23/06/2016;-      0,043500
22/06/2016;-      0,050500
21/06/2016;-      0,064000
20/06/2016;-      0,055000
17/06/2016;-      0,039000
16/06/2016;-      0,030000
15/06/2016;-      0,022000
14/06/2016;-      0,021500
13/06/2016;-      0,014000
10/06/2016;-      0,008000
09/06/2016;-      0,009000
08/06/2016;-      0,011000
07/06/2016;-      0,019000
06/06/2016;       0,011000
03/06/2016;-      0,006500
02/06/2016;       0,027000
01/06/2016;-      0,001500
31/05/2016;       0,003000
27/05/2016;       0,022000
26/05/2016;       0,022000
25/05/2016;       0,030000
24/05/2016;       0,033500
23/05/2016;       0,039000
20/05/2016;       0,015000
19/05/2016;       0,012000
18/05/2016;       0,011000
17/05/2016;       0,002500
16/05/2016;       0,008000
13/05/2016;-      0,005000
12/05/2016;-      0,013000
11/05/2016;-      0,005000
10/05/2016;       0,012000
09/05/2016;       0,018500
06/05/2016;       0,033000
05/05/2016;       0,045000
04/05/2016;       0,065000
03/05/2016;       0,047500
29/04/2016;       0,074000
28/04/2016;       0,074000
27/04/2016;       0,045000
26/04/2016;       0,050000
25/04/2016;       0,047900
22/04/2016;       0,012000
21/04/2016;       0,020000
20/04/2016;       0,013000
19/04/2016;       0,010000
18/04/2016;       0,025000
15/04/2016;       0,012000
14/04/2016;       0,006000
13/04/2016;       0,000000
12/04/2016;-      0,001000
11/04/2016;-      0,005000
08/04/2016;       0,012500
07/04/2016;       0,007000
06/04/2016;       0,029000
05/04/2016;       0,026000
04/04/2016;       0,036000
01/04/2016;       0,022500
31/03/2016;       0,019000
30/03/2016;       0,038000
29/03/2016;       0,049000
24/03/2016;       0,048000
23/03/2016;       0,047000
22/03/2016;       0,040000
21/03/2016;       0,047000
18/03/2016;       0,081000
17/03/2016;       0,075000
16/03/2016;       0,048000
15/03/2016;       0,075000
14/03/2016;       0,029000
11/03/2016;       0,023000
10/03/2016;-      0,015500
09/03/2016;       0,008000
08/03/2016;-      0,007000
07/03/2016;-      0,008000
04/03/2016;-      0,009000
03/03/2016;-      0,020000
02/03/2016;-      0,011000
01/03/2016;       0,006400
29/02/2016;       0,032500
26/02/2016;       0,023000
25/02/2016;       0,039000
24/02/2016;       0,040000
23/02/2016;       0,034000
22/02/2016;       0,066000
19/02/2016;       0,071000
18/02/2016;       0,071000
17/02/2016;       0,080000
16/02/2016;       0,054000
15/02/2016;       0,012500
12/02/2016;       0,058000
11/02/2016;       0,061300
10/02/2016;       0,045000
09/02/2016;       0,062000
08/02/2016;       0,065000
05/02/2016;       0,068000
04/02/2016;       0,067000
03/02/2016;       0,080000
02/02/2016;       0,083000
01/02/2016;       0,126000
29/01/2016;       0,126000
28/01/2016;       0,134000
27/01/2016;       0,142000
26/01/2016;       0,150000
25/01/2016;       0,183000
22/01/2016;       0,184000
21/01/2016;       0,225000
20/01/2016;       0,218500
19/01/2016;       0,217000
18/01/2016;       0,220000
15/01/2016;       0,235000
14/01/2016;       0,260000
13/01/2016;       0,243000
12/01/2016;       0,255000
11/01/2016;       0,229000
08/01/2016;       0,233500
07/01/2016;       0,276000
06/01/2016;       0,293000
05/01/2016;       0,329000
04/01/2016;       0,325500
31/12/2015;       0,339000
30/12/2015;       0,368800
29/12/2015;       0,333000
24/12/2015;       0,317000
23/12/2015;       0,265000
22/12/2015;       0,271000
21/12/2015;       0,288000
18/12/2015;       0,296500
17/12/2015;       0,302000
16/12/2015;       0,234000
15/12/2015;       0,241000
14/12/2015;       0,245000
11/12/2015;       0,247000
10/12/2015;       0,262000
09/12/2015;       0,277000
08/12/2015;       0,309000
07/12/2015;       0,141000
04/12/2015;       0,137500
03/12/2015;       0,174000
02/12/2015;       0,174000
01/12/2015;       0,158000
30/11/2015;       0,172000
27/11/2015;       0,170000
26/11/2015;       0,173000
25/11/2015;       0,186000
24/11/2015;       0,187000
23/11/2015;       0,223000
20/11/2015;       0,211000
19/11/2015;       0,224000
18/11/2015;       0,247000
17/11/2015;       0,238000
16/11/2015;       0,256000
13/11/2015;       0,241000
12/11/2015;       0,259000
11/11/2015;       0,325500
10/11/2015;       0,266000
09/11/2015;       0,280500
06/11/2015;       0,265500
05/11/2015;       0,285000
04/11/2015;       0,295200
03/11/2015;       0,278000
02/11/2015;       0,247500
30/10/2015;       0,213500
29/10/2015;       0,232000
28/10/2015;       0,261500
27/10/2015;       0,290500
26/10/2015;       0,331000
23/10/2015;       0,341500
22/10/2015;       0,355000
21/10/2015;       0,330000
20/10/2015;       0,330300
19/10/2015;       0,330500
16/10/2015;       0,325000
15/10/2015;       0,340000
14/10/2015;       0,344700
13/10/2015;       0,367000
12/10/2015;       0,346000
09/10/2015;       0,366000
08/10/2015;       0,358000
07/10/2015;       0,325000
06/10/2015;       0,312000
05/10/2015;       0,325000
02/10/2015;       0,357500
01/10/2015;       0,362000
30/09/2015;       0,365000
29/09/2015;       0,383000
28/09/2015;       0,359500
25/09/2015;       0,350000
24/09/2015;       0,348000
23/09/2015;       0,395500
22/09/2015;       0,382500
21/09/2015;       0,435000
18/09/2015;       0,430000
17/09/2015;       0,387000
16/09/2015;       0,357500
15/09/2015;       0,372000
14/09/2015;       0,385000
11/09/2015;       0,392500
10/09/2015;       0,387000
09/09/2015;       0,375800
08/09/2015;       0,388000
07/09/2015;       0,406000
04/09/2015;       0,446000
03/09/2015;       0,440000
02/09/2015;       0,409000
01/09/2015;       0,417000
28/08/2015;       0,428000
27/08/2015;       0,430000
26/08/2015;       0,366500
25/08/2015;       0,365000
24/08/2015;       0,362000
21/08/2015;       0,390000
20/08/2015;       0,395000
19/08/2015;       0,390000
18/08/2015;       0,393000
17/08/2015;       0,391000
14/08/2015;       0,373000
13/08/2015;       0,391000
12/08/2015;       0,397000
11/08/2015;       0,407000
10/08/2015;       0,426000
07/08/2015;       0,412000
06/08/2015;       0,406000
05/08/2015;       0,406000
04/08/2015;       0,410000
03/08/2015;       0,412500
31/07/2015;       0,427500
30/07/2015;       0,425000
29/07/2015;       0,415000
28/07/2015;       0,408500
27/07/2015;       0,429000
24/07/2015;       0,425000
23/07/2015;       0,452000
22/07/2015;       0,444000
21/07/2015;       0,460000
20/07/2015;       0,490000
17/07/2015;       0,473000
16/07/2015;       0,504000
15/07/2015;       0,547300
14/07/2015;       0,535000
13/07/2015;       0,469000
10/07/2015;       0,465000
09/07/2015;       0,447000
08/07/2015;       0,478000
07/07/2015;       0,505000
06/07/2015;       0,516000
03/07/2015;       0,511000
02/07/2015;       0,506000
01/07/2015;       0,520000
30/06/2015;       0,569000
29/06/2015;       0,540000
26/06/2015;       0,522000
25/06/2015;       0,550000
24/06/2015;       0,530000
23/06/2015;       0,516000
22/06/2015;       0,525000
19/06/2015;       0,525000
18/06/2015;       0,541000
17/06/2015;       0,546000
16/06/2015;       0,561000
15/06/2015;       0,542500
12/06/2015;       0,600000
11/06/2015;       0,565000
10/06/2015;       0,534000
09/06/2015;       0,545000
08/06/2015;       0,492400
05/06/2015;       0,457000
04/06/2015;       0,421000
03/06/2015;       0,340000
02/06/2015;       0,352500
01/06/2015;       0,365000
29/05/2015;       0,368000
28/05/2015;       0,390000
27/05/2015;       0,395000
26/05/2015;       0,415000
22/05/2015;       0,382000
21/05/2015;       0,387000
20/05/2015;       0,415000
19/05/2015;       0,416000
18/05/2015;       0,424000
15/05/2015;       0,389000
14/05/2015;       0,412000
13/05/2015;       0,372000
12/05/2015;       0,372000
11/05/2015;       0,419000
08/05/2015;       0,375000
07/05/2015;       0,335000
06/05/2015;       0,292900
05/05/2015;       0,286000
01/05/2015;       0,248000
30/04/2015;       0,199300
29/04/2015;       0,215000
28/04/2015;       0,215000
27/04/2015;       0,210000
24/04/2015;       0,203000
23/04/2015;       0,211000
22/04/2015;       0,193300
21/04/2015;       0,182000
20/04/2015;       0,189000
17/04/2015;       0,190000
16/04/2015;       0,194000
15/04/2015;       0,207700
14/04/2015;       0,210000
13/04/2015;       0,213000
10/04/2015;       0,226300
09/04/2015;       0,249000
08/04/2015;       0,260000
07/04/2015;       0,242000
02/04/2015;       0,247500
01/04/2015;       0,254000
31/03/2015;       0,257000
30/03/2015;       0,270000
27/03/2015;       0,271000
26/03/2015;       0,277000
25/03/2015;       0,258000
24/03/2015;       0,246000
23/03/2015;       0,256000
20/03/2015;       0,260000
19/03/2015;       0,281000
18/03/2015;       0,278200
17/03/2015;       0,278000
16/03/2015;       0,258000
13/03/2015;       0,260000
12/03/2015;       0,280000
11/03/2015;       0,307000
10/03/2015;       0,317400
09/03/2015;       0,310000
06/03/2015;       0,290000
05/03/2015;       0,279000
